amount,old_balance_orig,new_balance_orig,old_balance_dest,new_balance_dest,hour_of_day,day_of_week,is_fraud,customer_id,transaction_id,time_since_last_transaction,unusual_location,unusual_device,timestamp,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER
1291.36452567806,8985.885935843447,7694.521410165387,10938.412274758364,12165.20857415252,1,5,0,29123,TX00006253,14.231715629340258,0,0,2025-03-09 06:01:11.287128687,False,False,True,False
188.88017792900115,6592.885402853064,6404.0052249240625,2689.41247549823,2868.848644530781,9,3,0,77618,TX00004685,6.0425969184620465,0,0,2025-03-02 17:28:34.131413221,False,False,True,False
395.20496116454075,3090.092709971271,2694.88774880673,8061.272467852733,8436.717180959047,7,3,0,85460,TX00001732,9.437378098557858,0,1,2025-03-24 20:01:30.729072809,False,False,False,True
500.4857094070823,3157.2078930961648,2656.7221836890826,4334.490194574249,4809.951618510977,8,0,0,94881,TX00004743,0.9102667298946059,0,0,2025-03-20 00:01:17.767776728,True,False,False,False
822.2999014310731,10383.650214176827,9561.350312745753,2772.8095224062495,3553.994428765769,9,4,0,33034,TX00004522,4.008659223291647,0,0,2025-03-05 01:25:32.673267365,False,False,False,True
222.233028832655,3659.806007234372,3437.5729784017167,12962.386261590565,13173.507638981588,14,6,0,16457,TX00006341,22.611408624750066,0,0,2025-03-04 00:22:02.052205324,True,False,False,False
570.6843674325698,6064.807603355296,5494.123235922726,8380.704476743835,8922.854625804775,2,2,0,25478,TX00000577,9.856819721266207,1,0,2025-03-01 19:22:11.773177385,False,True,False,False
544.8368268989929,3096.439679471251,2551.602852572258,2212.8209120619445,2730.415897615988,21,5,0,72962,TX00005203,20.040146024623052,0,0,2025-03-12 00:37:35.265526533,False,False,False,True
704.9637212003206,3815.722727234264,3110.7590060339435,7601.49710984207,8271.212644982375,16,6,0,21888,TX00006364,21.790615315414037,0,0,2025-03-02 22:30:59.945994616,False,False,False,True
483.33569033101435,5430.972222106026,4947.6365317750115,4280.022231631896,4739.19113744636,12,2,0,50716,TX00000440,0.020053235191017073,0,0,2025-03-30 00:40:10.801080227,False,False,True,False
1026.642709494647,3625.980644829643,2599.337935334996,8073.913477053957,9049.224051073872,17,1,0,34058,TX00002751,9.945939350517778,0,0,2025-03-23 00:49:15.175517559,False,False,False,True
638.3234096889305,4031.814948638748,3393.4915389498174,4939.6019805459255,5546.009219750409,4,6,0,59766,TX00007488,5.158922186633246,0,0,2025-03-19 04:08:51.413141251,False,False,True,False
140.08242047293595,5454.59256454359,5314.510144070654,3713.2949119140476,3846.373211363337,3,2,0,44287,TX00005273,5.4584146822903,0,0,2025-03-10 16:34:59.729973078,False,False,True,False
838.4719349806512,2724.128406049891,1885.6564710692398,9444.937261410823,10241.485599642441,18,2,0,25946,TX00005654,9.023184206762144,0,0,2025-03-24 07:16:47.740774155,False,False,False,True
608.1943674307385,3970.3890531329835,3362.194685702245,2891.776559103158,3469.5612081623594,22,4,0,29853,TX00004000,1.2942629791262958,1,1,2025-03-09 12:21:23.168316841,False,False,True,False
232.77534093432092,2952.4672248454267,2719.691883911106,3804.240383270804,4025.376957158409,4,1,0,13152,TX00006034,1.8866550356038112,0,0,2025-03-26 15:05:07.830783129,False,False,True,False
689.8345598318855,6328.913270846588,5639.078711014702,5934.861417210817,6590.2042490511085,15,4,0,86231,TX00000583,0.38401396102889407,0,0,2025-03-03 09:19:03.834383488,False,True,False,False
890.0559704945704,5904.827765933967,5014.7717954393975,191.63583479802577,191.63583479802577,21,0,1,24136,TX00009931,5.846736910868743,1,1,2025-03-10 13:33:32.241224051,False,False,False,True
619.6976472505087,8034.951603507798,7415.253956257289,5073.667497126609,5662.3802620145925,15,2,0,82940,TX00007052,11.408512222191993,0,0,2025-03-27 09:00:55.085508585,False,False,False,True
630.7842889146417,4438.262092086874,3807.477803172232,5480.705339159337,6079.950413628247,10,0,0,59780,TX00008159,21.16243468580307,0,0,2025-03-20 05:55:34.293429375,False,False,True,False
142.40184554034846,7375.039979093963,0.0,188.94770635802774,331.3495518983762,3,4,1,75606,TX00009897,1.3524933863671025,0,1,2025-03-11 03:27:22.844284534,True,False,False,False
776.4950335773378,4911.1846530210905,4134.689619443752,6203.9408962087855,6941.611178107256,22,2,0,67156,TX00002250,4.043302922691056,0,0,2025-03-29 00:15:33.213321447,False,False,True,False
